供應商編號,供應商名稱,供應商國家,供應商城市,產品類別,產品名稱,產品代碼,單價美元,最小訂購量,交期天數,品質評分,付款條件,備用供應商1,備用供應商2,合約開始日期,合約結束日期,最後訂購日期,2024年總訂單數,風險等級
SUP001,台積電,台灣,新竹,處理器晶片,旗艦級SoC處理器,CHIP-SOC-FLAG-001,285.50,10000,45,4.9,NET45,SUP023,SUP056,2024-01-15,2025-12-31,2024-12-10,156,低
SUP002,三星顯示,韓國,首爾,顯示面板,6.7吋AMOLED螢幕,OLED-6.7IN-001,125.80,5000,35,4.8,NET30,SUP013,SUP035,2024-02-01,2025-06-30,2024-12-08,89,中
SUP003,寧德時代,中國,寧德,電池模組,4500mAh鋰電池,BAT-LI-4500-001,28.90,20000,25,4.7,NET30,SUP025,SUP047,2024-01-10,2025-12-31,2024-12-12,234,低
SUP004,村田製作所,日本,京都,被動元件,多層陶瓷電容,MLCC-001,0.35,100000,14,4.9,NET30,SUP032,SUP014,2024-03-01,2025-08-31,2024-12-11,445,低
SUP005,富士康,中國,深圳,組裝代工,智能手機組裝,ASM-PHONE-001,45.75,50000,21,4.6,NET45,SUP024,SUP050,2024-01-20,2025-12-31,2024-12-09,178,中
SUP006,比亞迪,中國,西安,機構件,鋁合金中框,FRAME-ALU-001,15.60,30000,18,4.5,NET30,SUP028,SUP039,2024-02-15,2025-10-31,2024-12-07,67,中
SUP007,欣興電子,台灣,桃園,印刷電路板,多層主板PCB,PCB-MAIN-001,25.20,15000,28,4.8,NET30,SUP029,SUP040,2024-01-05,2025-12-31,2024-12-13,123,低
SUP008,博世,德國,慕尼黑,感測器,六軸陀螺儀,GYRO-6AXIS-001,8.45,25000,30,4.9,NET60,SUP019,SUP030,2024-03-10,2025-09-30,2024-12-06,298,低
SUP009,瑞聲科技,中國,深圳,聲學元件,立體聲揚聲器,SPKR-STEREO-001,6.30,40000,16,4.4,NET30,SUP016,SUP031,2024-02-20,2025-11-30,2024-12-05,156,中
SUP010,日月光,台灣,高雄,封裝測試,晶片封裝服務,PKG-CHIP-001,12.80,20000,22,4.7,NET45,SUP021,SUP033,2024-01-25,2025-12-31,2024-12-04,89,低
SUP011,德州儀器,美國,德州,電源管理,電源管理IC,PMU-IC-001,18.90,15000,35,4.8,NET30,SUP022,SUP044,2024-02-05,2025-07-31,2024-12-03,134,中
