日期,職責部門,陳情項目,是不是亂寫,窗口聯絡資訊,陳情人縣市地區,中央/地方
2025-01-20,交通部,道路坑洞問題,否,02-2349-2900,台北市,中央
2025-01-20,環保署,空氣污染檢舉,否,0800-066-666,新北市,中央
2025-01-19,教育部,學校設施改善,否,02-7736-6666,桃園市,中央
2025-01-19,衛福部,醫療資源不足,否,02-8590-6666,台中市,中央
2025-01-18,內政部,戶政服務問題,否,02-8195-8151,高雄市,中央
2025-01-18,經濟部,中小企業補助,否,02-2321-2200,台南市,中央
2025-01-17,勞動部,勞工權益保障,否,02-8995-6866,新竹市,中央
2025-01-17,農委會,農產品價格問題,否,02-2312-4000,彰化縣,中央
2025-01-16,文化部,文化活動補助,否,02-8512-6000,雲林縣,中央
2025-01-16,科技部,科研經費申請,否,02-2737-7999,嘉義市,中央
2025-01-15,台北市政府,垃圾清運問題,否,1999,台北市,地方
2025-01-15,新北市政府,停車位不足,否,02-2960-3456,新北市,地方
2025-01-14,桃園市政府,公園維護問題,否,03-334-6789,桃園市,地方
2025-01-14,台中市政府,路燈故障,否,04-2228-9111,台中市,地方
2025-01-13,高雄市政府,下水道阻塞,否,07-336-8333,高雄市,地方
2025-01-13,台南市政府,市場管理問題,否,06-299-1111,台南市,地方
2025-01-12,新竹市政府,噪音污染檢舉,否,03-521-6121,新竹市,地方
2025-01-12,基隆市政府,港口環境改善,否,02-2420-1122,基隆市,地方
2025-01-11,嘉義市政府,老人福利諮詢,否,05-225-4321,嘉義市,地方
2025-01-11,彰化縣政府,農路修繕,否,04-722-2151,彰化縣,地方
2025-01-10,交通部,高速公路收費問題,是,02-2349-2900,台北市,中央
2025-01-10,環保署,垃圾分類宣導,否,0800-066-666,新北市,中央
2025-01-09,教育部,偏鄉教育資源,否,02-7736-6666,花蓮縣,中央
2025-01-09,衛福部,長照服務申請,否,02-8590-6666,台東縣,中央
2025-01-08,內政部,身分證換發,否,02-8195-8151,澎湖縣,中央
2025-01-08,經濟部,產業轉型輔導,否,02-2321-2200,金門縣,中央
2025-01-07,勞動部,職業訓練課程,否,02-8995-6866,連江縣,中央
2025-01-07,農委會,漁業補助申請,否,02-2312-4000,宜蘭縣,中央
2025-01-06,文化部,古蹟保存問題,否,02-8512-6000,苗栗縣,中央
2025-01-06,科技部,學術研究合作,否,02-2737-7999,南投縣,中央
2025-01-05,雲林縣政府,農業灌溉問題,否,05-552-2000,雲林縣,地方
2025-01-05,嘉義縣政府,觀光景點維護,否,05-362-0123,嘉義縣,地方
2025-01-04,屏東縣政府,原住民權益,否,08-732-0415,屏東縣,地方
2025-01-04,宜蘭縣政府,溫泉管理問題,否,03-925-1000,宜蘭縣,地方
2025-01-03,花蓮縣政府,地震災後重建,否,03-822-7171,花蓮縣,地方
2025-01-03,台東縣政府,部落發展計畫,否,089-326-141,台東縣,地方
2025-01-02,澎湖縣政府,離島交通問題,否,06-927-4400,澎湖縣,地方
2025-01-02,金門縣政府,戰地觀光推廣,否,082-318-823,金門縣,地方
2025-01-01,連江縣政府,馬祖發展建設,否,0836-22381,連江縣,地方
2025-01-01,苗栗縣政府,客家文化推廣,否,037-322-150,苗栗縣,地方
2024-12-31,交通部,機場服務品質,是,02-2349-2900,台北市,中央
2024-12-31,環保署,海洋污染防治,否,0800-066-666,基隆市,中央
2024-12-30,教育部,大學招生制度,否,02-7736-6666,台北市,中央
2024-12-30,衛福部,疫苗接種問題,否,02-8590-6666,新北市,中央
2024-12-29,內政部,消防安全檢查,否,02-8195-8151,桃園市,中央
2024-12-29,經濟部,能源政策諮詢,否,02-2321-2200,台中市,中央
2024-12-28,勞動部,最低工資調整,否,02-8995-6866,高雄市,中央
2024-12-28,農委會,有機農業推廣,否,02-2312-4000,台南市,中央
2024-12-27,文化部,博物館營運,否,02-8512-6000,新竹市,中央
2024-12-27,科技部,AI發展政策,否,02-2737-7999,彰化縣,中央
2024-12-26,南投縣政府,觀光纜車安全,否,049-222-2106,南投縣,地方
