timeSegment,period,totalComplaints,change,topCategory,resolution,satisfaction,notes
早班,06:00-12:00,35,12.5,班機延誤,2.8,3.4,早班機延誤影響商務客行程
午班,12:00-18:00,52,18.2,行李問題,2.1,3.7,轉機高峰時段行李處理壓力大
晚班,18:00-24:00,41,8.9,客服態度,3.2,3.1,夜間客服人力不足影響服務品質
週一,Monday,28,15.3,班機延誤,2.5,3.3,週一航班調度較為緊張
週二,Tuesday,22,5.8,行李問題,2.2,3.6,週二客流量適中問題較少
週三,Wednesday,25,12.1,客服態度,2.9,3.2,週三客服訓練日影響服務
週四,Thursday,31,22.4,座位問題,2.4,3.5,週四商務客較多座位需求高
週五,Friday,45,28.7,班機延誤,3.1,2.9,週五航班最繁忙延誤風險高
週六,Saturday,38,18.9,餐點服務,1.8,3.8,週六家庭客較多對餐點要求高
週日,Sunday,33,14.2,行李問題,2.3,3.4,週日返程客流行李處理量大
